origins,destinations,counts,lon_o,lat_o,lon_d,lat_d
Walker's Island ,Indianapolis Zoo ,7,-78.4034188,27.2599407,-86.18073,39.767442
"Hudson Bay, Manitoba",SeaWorld San Diego ,7,-98.647012899999993,49.1963343,-117.2266083,32.7647903
"Indian River, Florida",SeaWorld Orlando ,7,-80.6431877,28.2142068,-81.4617047,28.4114555
Indianapolis Zoo ,Theater of the Sea ,7,-86.18073,39.767442,-71.5627531,41.3770733
Miami Seaquarium ,Shedd Aquarium ,7,-80.1648518,25.7342958,-87.614038,41.8675726
Mystic Aquarium ,Shedd Aquarium ,7,-71.9532523,41.373346,-87.614038,41.8675726
SeaWorld San Antonio,SeaWorld San Diego ,7,-98.69931509999999,29.4584176,-117.2266083,32.7647903
SeaWorld San Diego,Discovery Cove ,7,-117.2266083,32.7647903,-81.462485,28.4050098
SeaWorld San Diego,SeaWorld Aurora ,7,-117.2266083,32.7647903,-81.36843999999999,41.34552
Shedd Aquarium ,Mystic Aquarium ,7,-87.614038,41.8675726,-71.9532523,41.373346
Theater of the Sea ,Indianapolis Zoo ,7,-71.5627531,41.3770733,-86.18073,39.767442
Naval Base Point Loma,SeaWorld San Diego ,7,-117.2400346,32.6889711,-117.2266083,32.7647903
Atlantic Ocean,SeaWorld Orlando ,6,-28.6731465,-14.5994134,-81.4617047,28.4114555
Pacific Ocean,Naval Base Point Loma,6,-124.508523,-8.783195,-117.2400346,32.6889711
Pacific Ocean,"Japan, unk. ",6,-124.508523,-8.783195,-99.1014292,40.7011879
"Japan, unk. ",SeaWorld San Diego ,6,-99.1014292,40.7011879,-117.2266083,32.7647903
Kamogawa Sea World ,SeaWorld San Diego ,6,140.1203229,35.115895,-117.2266083,32.7647903
Gulf of Mexico,Mississippi ,6,-90.065918,25.304304,-89.3985283,32.3546679
Gulf of Mexico,Naval Base Point Loma,6,-90.065918,25.304304,-117.2400346,32.6889711
New England Aquarium ,SeaWorld Orlando ,6,-71.0497542,42.3591346,-81.4617047,28.4114555
SeaWorld Orlando ,SeaWorld San Diego ,6,-81.4617047,28.4114555,-117.2266083,32.7647903
SeaWorld San Antonio,SeaWorld Aurora ,6,-98.69931509999999,29.4584176,-81.36843999999999,41.34552
Six Flags Discovery Kingdom ,Dolphinaris Arizona ,6,-122.2340155,38.13819549999999,-111.877366,33.5553703
Discovery Cove Orlando ,Six Flags Discovery Kingdom ,5,-81.462485,28.4050098,-122.2340155,38.13819549999999
Dolphin Quest Hawaii ,Dolphin Quest Oahu ,5,-155.889022,19.925505,-157.773445,21.271999
Dolphins Plus Oceanside,Dolphins Plus Bayside ,5,-80.442206,25.0843436,-80.41895989999999,25.1189869
Dolphins Plus Oceanside ,Dolphins Plus Bayside ,5,-80.442206,25.0843436,-80.41895989999999,25.1189869
"Hudson Bay, Manitoba"," pool, Manitoba ",5,-98.647012899999993,49.1963343,-96.9789986,50.0552761
Marine World Africa USA ,Six Flags Discovery Kingdom ,5,-122.2340155,38.13819549999999,-122.2340155,38.13819549999999
New York Aquarium ,National Aquarium in Baltimore ,5,-73.9748754,40.5742632,-76.6082871,39.2850948
Seattle Marine Aquarium ,SeaWorld San Diego ,5,-122.1950467,47.53140519999999,-117.2266083,32.7647903
SeaWorld Orlando,Discovery Cove Orlando ,5,-81.4617047,28.4114555,-81.462485,28.4050098
SeaWorld San Diego,SeaWorld Orlando ,5,-117.2266083,32.7647903,-81.4617047,28.4114555
Pacific Ocean,Naval Base Point Loma,4,-124.508523,-8.783195,-117.2400346,32.6889711
Discovery Cove Orlando,Dolphins Plus Bayside ,4,-81.462485,28.4050098,-80.41895989999999,25.1189869
Dolphin Quest Oahu ,Dolphin Quest Hawaii ,4,-157.773445,21.271999,-155.889022,19.925505
Atlantic Ocean,Marineland of the Pacific ,4,-28.6731465,-14.5994134,-118.3980757,33.7363084
Atlantic Ocean,Naval Base Point Loma,4,-28.6731465,-14.5994134,-117.2400346,32.6889711
Gulf of Mexico,SeaWorld San Diego ,4,-90.065918,25.304304,-117.2266083,32.7647903
Harbor Branch Institute ,SeaWorld Orlando ,4,-80.3578694,27.5345638,-81.4617047,28.4114555
" pool, Manitoba ",SeaWorld San Diego ,4,-96.9789986,50.0552761,-117.2266083,32.7647903
"Hudson Bay, Manitoba",New York Aquarium ,4,-98.647012899999993,49.1963343,-73.9748754,40.5742632
"Hudson Bay, Manitoba",Point Defiance Zoo ,4,-98.647012899999993,49.1963343,-122.5208211,47.3048779
Indianapolis Zoo ,Texas State Aquarium ,4,-86.18073,39.767442,-97.3923171,27.8140747
Long Marine Laboratory ,Shedd Aquarium ,4,-122.0655899,36.9496812,-87.614038,41.8675726
Minnesota Zoo ,Brookfield Zoo ,4,-93.19667179999999,44.767807,-87.8357137,41.8328916
National Aquarium in Baltimore ,Dolphin Research Center ,4,-76.6082871,39.2850948,-97.2067768,26.0781091
Pacific Ocean,Long Marine Laboratory ,4,-124.508523,-8.783195,-122.0655899,36.9496812
Point Defiance Zoo ,Shedd Aquarium ,4,-122.5208211,47.3048779,-87.614038,41.8675726
SeaWorld Aurora,Discovery Cove ,4,-81.36843999999999,41.34552,-81.462485,28.4050098
SeaWorld Orlando,SeaWorld San Antonio ,4,-81.4617047,28.4114555,-98.69931509999999,29.4584176
SeaWorld Orlando,SeaWorld San Diego ,4,-81.4617047,28.4114555,-117.2266083,32.7647903
SeaWorld San Antonio ,Texas State Aquarium ,4,-98.69931509999999,29.4584176,-97.3923171,27.8140747
SeaWorld San Diego,Georgia Aquarium ,4,-117.2266083,32.7647903,-84.3951098,33.763382
SeaWorld San Diego,SeaWorld San Antonio ,4,-117.2266083,32.7647903,-98.69931509999999,29.4584176
SeaWorld San Diego,Naval Base Point Loma,4,-117.2266083,32.7647903,-117.2400346,32.6889711
SeaWorld San Diego ,Aquatica Orlando ,4,-117.2266083,32.7647903,-81.456506,28.4157174
Shedd Aquarium ,Miami Seaquarium ,4,-87.614038,41.8675726,-80.1648518,25.7342958
Six Flags Discovery Kingdom,Dolphinaris Arizona ,4,-122.2340155,38.13819549999999,-111.877366,33.5553703
Six Flags Discovery Kingdom ,Six Flags Discovery Kingdom ,4,-122.2340155,38.13819549999999,-122.2340155,38.13819549999999
Texas State Aquarium ,Indianapolis Zoo ,4,-97.3923171,27.8140747,-86.18073,39.767442
Texas State Aquarium ,SeaWorld San Antonio ,4,-97.3923171,27.8140747,-98.69931509999999,29.4584176
Atlantic Ocean,SeaWorld San Diego ,3,-28.6731465,-14.5994134,-117.2266083,32.7647903
"Avalon Beach, Florida",Harbor Branch Institute ,3,-87.1016345,30.5301956,-80.3578694,27.5345638
Dolphin Connection ,Brookfield Zoo ,3,-80.9096457,24.7764696,-87.8357137,41.8328916
Dolphin Quest Bermuda,Georgia Aquarium ,3,-64.832494,32.328178,-84.3951098,33.763382
Dolphin Quest Hawaii,Georgia Aquarium ,3,-155.889022,19.925505,-84.3951098,33.763382
Dolphin Research Center ,Brookfield Zoo ,3,-97.2067768,26.0781091,-87.8357137,41.8328916
Florida Keys,Dolphins Plus ,3,-81.5357506,25.0273356,-80.41895989999999,25.1189869
Atlantic Ocean,SeaWorld San Diego ,3,-28.6731465,-14.5994134,-117.2266083,32.7647903
Georgia Aquarium ,SeaWorld San Antonio ,3,-84.3951098,33.763382,-98.69931509999999,29.4584176
Gulf of Mexico,Marineland of Florida ,3,-90.065918,25.304304,-81.213398,29.6688614
Gulf of Mexico,SeaWorld San Diego ,3,-90.065918,25.304304,-117.2266083,32.7647903
 Taiji ,Kamogawa Sea World ,3,-94.21867499999999,36.391527,140.1203229,35.115895
"Hudson Bay, Manitoba",Shedd Aquarium ,3,-98.647012899999993,49.1963343,-87.614038,41.8675726
"Hudson Bay, Manitoba",Vancouver Aquarium ,3,-98.647012899999993,49.1963343,-123.1309293,49.3007961
"Iceland, North Atlantic",Hafnarfjordur Aquarium ,3,-19.020835,64.963051,-84.497389,39.0946809
Marine Animal Productions ,Dolphin Research Center ,3,-89.0187972,30.4204487,-97.2067768,26.0781091
Marineland of Canada,SeaWorld Orlando ,3,-79.07060059999999,43.0649729,-81.4617047,28.4114555
Marineland of the Pacific,SeaWorld San Diego ,3,-118.3980757,33.7363084,-117.2266083,32.7647903
Milwaukee County Zoo ,Dolphin Connection ,3,-88.0409553,43.0312884,-80.9096457,24.7764696
Gulf of Mexico,Marine Animal Productions ,3,-90.065918,25.304304,-89.0187972,30.4204487
Montreal Aquarium ,Dolphin Research Center ,3,-73.652413,45.567919,-97.2067768,26.0781091
National Aquarium in Baltimore ,New York Aquarium ,3,-76.6082871,39.2850948,-73.9748754,40.5742632
National Aquarium in Baltimore ,SeaWorld Aurora ,3,-76.6082871,39.2850948,-81.36843999999999,41.34552
New York Aquarium ,Georgia Aquarium ,3,-73.9748754,40.5742632,-84.3951098,33.763382
New York Aquarium ,SeaWorld Orlando ,3,-73.9748754,40.5742632,-81.4617047,28.4114555
Pacific Ocean,Marineland of the Pacific ,3,-124.508523,-8.783195,-118.3980757,33.7363084
Point Defiance Zoo ,Marineland of the Pacific ,3,-122.5208211,47.3048779,-118.3980757,33.7363084
Sea Life Park ,Naval Base Point Loma,3,-157.6631377,21.3131939,-117.2400346,32.6889711
SeaWorld Orlando,Gulf World Marine Park ,3,-81.4617047,28.4114555,-85.8671863,30.2111627
SeaWorld San Antonio,Discovery Cove ,3,-98.69931509999999,29.4584176,-81.462485,28.4050098
SeaWorld San Antonio,SeaWorld Orlando ,3,-98.69931509999999,29.4584176,-81.4617047,28.4114555
SeaWorld San Diego,Aquatica Orlando ,3,-117.2266083,32.7647903,-81.456506,28.4157174
SeaWorld San Diego ,Discovery Cove ,3,-117.2266083,32.7647903,-81.462485,28.4050098
Six Flags Discovery Kingdom ,"Compano Bay, Texas ",3,-122.2340155,38.13819549999999,-97.1036396,28.1271802
Six Flags Over Texas ,Brookfield Zoo ,3,-97.0711714,32.7551732,-87.8357137,41.8328916
Naval Base Point Loma,Dolphin Connection ,3,-117.2400346,32.6889711,-80.9096457,24.7764696
Naval Base Point Loma,Sugarloaf Dolphin Sanctuary ,3,-117.2400346,32.6889711,-81.5271302,24.6583304
Vancouver Aquarium ,SeaWorld San Diego ,3,-123.1309293,49.3007961,-117.2266083,32.7647903
Atlantic Ocean,Marineland of the Pacific ,2,-28.6731465,-14.5994134,-118.3980757,33.7363084
Brookfield Zoo,Minnesota Zoo ,2,-87.8357137,41.8328916,-93.19667179999999,44.767807
Brookfield Zoo ,Minnesota Zoo ,2,-87.8357137,41.8328916,-93.19667179999999,44.767807
Busch Gardens Tampa ,National Aquarium in Baltimore ,2,-82.41949009999999,28.0372161,-76.6082871,39.2850948
"Chile, Straits of Magellan",Chile ,2,-70.759749,-53.58881719999999,-71.542969,-35.675147
Clearwater Marine Aquarium ,SeaWorld Orlando ,2,-82.8191129,27.9768545,-81.4617047,28.4114555
"Cudjoe Key, Florida",Marine Mammal Conservancy ,2,-81.4984176,24.6715318,-80.41734199999999,25.122698
Discovery Cove Orlando ,SeaWorld San Diego ,2,-81.462485,28.4050098,-117.2266083,32.7647903
Dolfinarium Harderwijk ,SeaWorld San Diego ,2,5.6171798,52.3541391,-117.2266083,32.7647903
Dolphin Connection,Brookfield Zoo ,2,-80.9096457,24.7764696,-87.8357137,41.8328916
Dolphin Connection ,Lisbon Zoo ,2,-80.9096457,24.7764696,-9.1707172,38.7443615
Dolphin Connection ,Milwaukee County Zoo ,2,-80.9096457,24.7764696,-88.0409553,43.0312884
Dolphin Connection ,Mirage Dolphin Habitat ,2,-80.9096457,24.7764696,-115.1784079,36.1203291
Dolphin Quest Bermuda,Brookfield Zoo ,2,-64.832494,32.328178,-87.8357137,41.8328916
Dolphin Quest Bermuda,Dolphin Quest Hawaii ,2,-64.832494,32.328178,-155.889022,19.925505
Dolphin Quest Hawai'i,Dolphinaris Arizona ,2,-155.889022,19.925505,-111.877366,33.5553703
Dolphin Quest Hawaii ,Dolphin Quest Hawaii ,2,-155.889022,19.925505,-155.889022,19.925505
Dolphin Quest Hawaii ,Georgia Aquarium ,2,-155.889022,19.925505,-84.3951098,33.763382
Dolphin Quest Oahu , Dolphinaris Arizona ,2,-157.773445,21.271999,-111.877366,33.5553703
Dolphin Quest Oahu ,Dolphinaris Arizona ,2,-157.773445,21.271999,-111.877366,33.5553703
Dolphin Research Center ,National Aquarium in Baltimore ,2,-97.2067768,26.0781091,-76.6082871,39.2850948
Dolphin Research Center ,New England Aquarium ,2,-97.2067768,26.0781091,-71.0497542,42.3591346
Dolphin Research Center ,University of Guelph ,2,-97.2067768,26.0781091,-80.2262444,43.5328929
Dolphins Plus Bayside ,Dolphins Plus Oceanside ,2,-80.41895989999999,25.1189869,-80.442206,25.0843436
Duisburg Zoo ,SeaWorld San Diego ,2,6.8061729,51.4362611,-117.2266083,32.7647903
Florida,Miami Seaquarium ,2,-81.5157535,27.6648274,-80.1648518,25.7342958
Florida Keys,Dolphin Connection ,2,-81.5357506,25.0273356,-80.9096457,24.7764696
Atlantic Ocean,Marineland of Florida ,2,-28.6731465,-14.5994134,-81.213398,29.6688614
Atlantic Ocean,Miami Seaquarium ,2,-28.6731465,-14.5994134,-80.1648518,25.7342958
Atlantic Ocean,Point Defiance Zoo ,2,-28.6731465,-14.5994134,-122.5208211,47.3048779
Georgia Aquarium ,Marineland of Florida ,2,-84.3951098,33.763382,-81.213398,29.6688614
Georgia Aquarium ,Shedd Aquarium ,2,-84.3951098,33.763382,-87.614038,41.8675726
Gulf of California,SeaWorld San Diego ,2,-110.7122465,26.7312935,-117.2266083,32.7647903
Gulf World Marine Park,Gulfarium ,2,-85.8671863,30.2111627,-86.593546,30.394468
Gulf World Marine Park ,Gulfarium ,2,-85.8671863,30.2111627,-86.593546,30.394468
"Hudson Bay, Manitoba",SeaWorld San Antonio ,2,-98.647012899999993,49.1963343,-98.69931509999999,29.4584176
"Hudson Bay, Manitoba",Naval Base Point Loma,2,-98.647012899999993,49.1963343,-117.2400346,32.6889711
"Japan, Hatakejiriwan", Taiji ,2,138.252924,36.204824,-94.21867499999999,36.391527
Pacific Ocean,Kamogawa Sea World ,2,-124.508523,-8.783195,140.1203229,35.115895
Lisbon Zoo ,Brookfield Zoo ,2,-9.1707172,38.7443615,-87.8357137,41.8328916
Long Marine Laboratory ,Dolphin Research Center ,2,-122.0655899,36.9496812,-97.2067768,26.0781091
Marine Mammal Conservancy ,SeaWorld Orlando ,2,-80.41734199999999,25.122698,-81.4617047,28.4114555
Marineland of Canada ,SeaWorld San Diego ,2,-79.07060059999999,43.0649729,-117.2266083,32.7647903
Marineland of Florida,SeaWorld Orlando ,2,-81.213398,29.6688614,-81.4617047,28.4114555
Marineland of Florida ,SeaWorld Orlando ,2,-81.213398,29.6688614,-81.4617047,28.4114555
Marineland of the Pacific,Marineland of Florida ,2,-118.3980757,33.7363084,-81.213398,29.6688614
Miami Seaquarium ,Brookfield Zoo ,2,-80.1648518,25.7342958,-87.8357137,41.8328916
Mote Marine Laboratory ,Clearwater Marine Aquarium ,2,-82.57747379999999,27.3328279,-82.8191129,27.9768545
Mystic Aquarium ,Miami Seaquarium ,2,-71.9532523,41.373346,-80.1648518,25.7342958
Mystic Aquarium ,New York Aquarium ,2,-71.9532523,41.373346,-73.9748754,40.5742632
National Aquarium in Baltimore ,SeaWorld San Antonio ,2,-76.6082871,39.2850948,-98.69931509999999,29.4584176
New England Aquarium ,Dolphin Research Center ,2,-71.0497542,42.3591346,-97.2067768,26.0781091
New England Aquarium ,Naval Base Point Loma,2,-71.0497542,42.3591346,-117.2400346,32.6889711
Pacific Ocean,Steinhart Aquarium ,2,-124.508523,-8.783195,-122.466105,37.7698293
Pacific Ocean,Naval Base Point Loma,2,-124.508523,-8.783195,-117.2400346,32.6889711
"Puget Sound, Pacific NW",Seattle Marine Aquarium ,2,-122.4713352,47.7236535,-122.1950467,47.53140519999999
"Sanibel Island, Florida",Mote Marine Laboratory ,2,-82.1115119,26.4433972,-82.57747379999999,27.3328279
Sea Life Park,Dolphin Quest Oahu ,2,-157.6631377,21.3131939,-157.773445,21.271999
SeaWorld Aurora ,Discovery Cove ,2,-81.36843999999999,41.34552,-81.462485,28.4050098
SeaWorld Orlando,Mirage Dolphin Habitat ,2,-81.4617047,28.4114555,-115.1784079,36.1203291
SeaWorld Orlando ,Discovery Cove Orlando ,2,-81.4617047,28.4114555,-81.462485,28.4050098
SeaWorld Orlando ,Georgia Aquarium ,2,-81.4617047,28.4114555,-84.3951098,33.763382
SeaWorld Orlando ,Gulf World Marine Park ,2,-81.4617047,28.4114555,-85.8671863,30.2111627
SeaWorld Orlando ,Texas State Aquarium ,2,-81.4617047,28.4114555,-97.3923171,27.8140747
SeaWorld Orlando ,Theater of the Sea ,2,-81.4617047,28.4114555,-71.5627531,41.3770733
SeaWorld San Antonio,Georgia Aquarium ,2,-98.69931509999999,29.4584176,-84.3951098,33.763382
SeaWorld San Antonio,Six Flags Discovery Kingdom ,2,-98.69931509999999,29.4584176,-122.2340155,38.13819549999999
SeaWorld San Antonio ,Georgia Aquarium ,2,-98.69931509999999,29.4584176,-84.3951098,33.763382
SeaWorld San Antonio ,SeaWorld San Diego ,2,-98.69931509999999,29.4584176,-117.2266083,32.7647903
SeaWorld San Diego,New England Aquarium ,2,-117.2266083,32.7647903,-71.0497542,42.3591346
SeaWorld San Diego ,Naval Base Point Loma,2,-117.2266083,32.7647903,-117.2400346,32.6889711
SeaWorld San Diego ,SeaWorld Orlando ,2,-117.2266083,32.7647903,-81.4617047,28.4114555
Shedd Aquarium,Mystic Aquarium ,2,-87.614038,41.8675726,-71.9532523,41.373346
Six Flags Great Adventure ,Six Flags Discovery Kingdom ,2,-74.4402149,40.1370678,-122.2340155,38.13819549999999
Steinhart Aquarium ,SeaWorld San Antonio ,2,-122.466105,37.7698293,-98.69931509999999,29.4584176
Gulf of Mexico,Quinlan Marine Attractions ,2,-90.065918,25.304304,-96.13552949999999,32.9103998
TMMSN Galveston ,SeaWorld San Antonio ,2,-94.8139686,29.2758286,-98.69931509999999,29.4584176
Naval Base Point Loma,New England Aquarium ,2,-117.2400346,32.6889711,-71.0497542,42.3591346
Naval Base Point Loma,Gulfarium ,2,-117.2400346,32.6889711,-86.593546,30.394468
Naval Base Point Loma,Inst. of Marine Mammal Studies ,2,-117.2400346,32.6889711,-89.0187972,30.4204487
Naval Base Point Loma,Long Marine Laboratory ,2,-117.2400346,32.6889711,-122.0655899,36.9496812
Naval Base Point Loma,SeaWorld San Diego ,2,-117.2400346,32.6889711,-117.2266083,32.7647903
UNEXSO Dolphin Experience,Georgia Aquarium ,2,-78.641042,26.514078,-84.3951098,33.763382
University of Guelph ,New England Aquarium ,2,-80.2262444,43.5328929,-71.0497542,42.3591346
"Amazon River, Peru",Marineland of Florida ,1,-60.6646509,-3.2996216,-81.213398,29.6688614
Aquarium of Niagara Falls ,Marineland of the Pacific ,1,-79.060138,43.09431,-118.3980757,33.7363084
Aquarium of Niagara Falls ,New England Aquarium ,1,-79.060138,43.09431,-71.0497542,42.3591346
Argentina,Duisburg Zoo ,1,-63.61667199999999,-38.416097,6.8061729,51.4362611
Audubon Aquarium ,Dolphin Research Center ,1,-90.06293869999999,29.950508,-97.2067768,26.0781091
Audubon Aquarium ,Inst. of Marine Mammal Studies ,1,-90.06293869999999,29.950508,-89.0187972,30.4204487
"Bolivar Peninsula, Texas",Texas Marine Mammal Stranding Network ,1,-94.5799145,29.4782878,-94.8139686,29.2758286
Brookfield Zoo,Dolphin Connection ,1,-87.8357137,41.8328916,-80.9096457,24.7764696
Brookfield Zoo ,EPCOT Center ,1,-87.8357137,41.8328916,-81.549404,28.374694
Brookfield Zoo ,Texas State Aquarium ,1,-87.8357137,41.8328916,-97.3923171,27.8140747
"Bullfrog Creek, Florida",Clearwater Marine Aquarium ,1,-82.3502403,27.7947922,-82.8191129,27.9768545
Busch Gardens Tampa ,Discovery Cove ,1,-82.41949009999999,28.0372161,-81.462485,28.4050098
Busch Gardens Tampa ,Dolphin Connection ,1,-82.41949009999999,28.0372161,-80.9096457,24.7764696
Carr Inlet,Seattle Marine Aquarium ,1,-122.7026778,47.2665812,-122.1950467,47.53140519999999
Cedar Point ,Dolphin Research Center ,1,-82.6835206,41.482207,-97.2067768,26.0781091
"Churchill Oaks, Louisiana",Audubon Aquarium ,1,-86.247351,30.3888707,-90.06293869999999,29.950508
"Clearwater Beach, Florida",Clearwater Marine Aquarium ,1,-82.8285877,27.972065,-82.8191129,27.9768545
Clearwater Marine Aquarium ,Dolphin Research Center ,1,-82.8191129,27.9768545,-97.2067768,26.0781091
"Corpus Christi, Texas","Texas State Aquarium, Sea Lab ",1,-97.39638099999999,27.8005828,-97.3923171,27.8140747
"Curacao, Caribbean",Dolphin Academy ,1,-68.99002,12.16957,-82.1229824,33.5234437
Dinnes ,SeaWorld Orlando ,1,16.3707771,48.2102027,-81.4617047,28.4114555
"Dinnes, Dolphin Connection ",Mirage Dolphin Habitat ,1,-80.9096457,24.7764696,-115.1784079,36.1203291
"Dinnes, possibly Dolphin Connection ",Milwaukee County Zoo ,1,-80.9096457,24.7764696,-88.0409553,43.0312884
"Dinnes, probably Dolphin Connection ",Mirage Dolphin Habitat ,1,-80.9096457,24.7764696,-115.1784079,36.1203291
Discovery Cove ,Discovery Cove ,1,-81.462485,28.4050098,-81.462485,28.4050098
Discovery Cove Orlando,SeaWorld Orlando ,1,-81.462485,28.4050098,-81.4617047,28.4114555
Discovery Cove Orlando ,SeaWorld San Antonio ,1,-81.462485,28.4050098,-98.69931509999999,29.4584176
Dolfinarium Harderwijk ,SeaWorld Orlando ,1,5.6171798,52.3541391,-81.4617047,28.4114555
Dolfinarium Harderwijk ,Windsor Safari Park ,1,5.6171798,52.3541391,-0.6187676999999999,51.4667179
Dolfinarium Harderwijk  ,SeaWorld Orlando ,1,5.6171798,52.3541391,-81.4617047,28.4114555
Dolphin Academy ,SeaWorld San Diego ,1,-82.1229824,33.5234437,-117.2266083,32.7647903
Dolphin Connection,Dolphin Quest Bermuda ,1,-80.9096457,24.7764696,-64.832494,32.328178
Dolphin Connection ,EPCOT Center ,1,-80.9096457,24.7764696,-81.549404,28.374694
Dolphin Connection ,Minnesota Zoo ,1,-80.9096457,24.7764696,-93.19667179999999,44.767807
Dolphin Connection ,SeaWorld Orlando ,1,-80.9096457,24.7764696,-81.4617047,28.4114555
Dolphin Quest Bermuda,EPCOT Center ,1,-64.832494,32.328178,-81.549404,28.374694
Dolphin Quest Bermuda ,EPCOT Center ,1,-64.832494,32.328178,-81.549404,28.374694
Dolphin Quest Hawai'I ,Dolphin Quest Oahu ,1,-155.889022,19.925505,-157.773445,21.271999
Dolphin Quest Oahu ,Dolphin Quest Hawai'I ,1,-157.773445,21.271999,-155.889022,19.925505
Dolphin Research Center ,Montreal Aquarium ,1,-97.2067768,26.0781091,-73.652413,45.567919
Dolphin Research Center ,New York Aquarium ,1,-97.2067768,26.0781091,-73.9748754,40.5742632
Dolphin Research Center ,Theater of the Sea ,1,-97.2067768,26.0781091,-71.5627531,41.3770733
"Dolphin Resort, Dominica ",Dolphins Plus Oceanside ,1,-61.4403695,15.4362912,-80.442206,25.0843436
Dolphins Plus ,Dolphins Plus Bayside ,1,-80.41895989999999,25.1189869,-80.41895989999999,25.1189869
Dolphins Plus Bayside,Dolphins Plus ,1,-80.41895989999999,25.1189869,-80.41895989999999,25.1189869
Dolphins Plus Bayside,Dolphins Plus Oceanside ,1,-80.41895989999999,25.1189869,-80.442206,25.0843436
Dolphins Plus Bayside ,Theater of the Sea ,1,-80.41895989999999,25.1189869,-71.5627531,41.3770733
Dolphins Plus Oceanside ,"Prospect Reef Resort, Tortola ",1,-80.442206,25.0843436,-64.63327819999999,18.4334704
EPCOT Center ,Naval Base Point Loma,1,-81.549404,28.374694,-117.2400346,32.6889711
EPCOT Living Seas ,Naval Base Point Loma,1,-81.5507341,28.3748884,-117.2400346,32.6889711
Florida Keys,Dolphin Research Center ,1,-81.5357506,25.0273356,-97.2067768,26.0781091
Florida Keys,"MARS, Keys Marine Lab ",1,-81.5357506,25.0273356,-80.8139384,24.8263277
Florida Keys,Miami Seaquarium ,1,-81.5357506,25.0273356,-80.1648518,25.7342958
Florida Keys,to SeaWorld Orlando ,1,-81.5357506,25.0273356,-81.4617047,28.4114555
